profitability,title,release_date
4,"Erin Brockovich",2000-03-17
4,"Central Intelligence",2016-06-15
4,"Daddy's Home",2015-12-25
4,"Into the Woods",2014-12-25
4,"Inside Man",2006-03-23
4,Garfield,2004-06-10
4,Non-Stop,2014-01-26
4,"Hansel & Gretel: Witch Hunters",2013-01-17
4,"American Reunion",2012-04-04
4,Traffic,2000-12-27
4,"Panic Room",2002-03-29
4,"Liar Liar",1997-03-21
4,"Scary Movie 3",2003-10-24
4,"Miss Congeniality",2000-12-14
4,"The Pelican Brief",1993-12-16
4,"Johnny English",2003-04-06
4,"21 Jump Street",2012-03-12
4,"Chicken Run",2000-06-21
4,"Along Came Polly",2004-01-16
4,"Licence to Kill",1989-07-07
4,"Cheaper by the Dozen",2003-12-24
4,"He's Just Not That Into You",2009-02-06
4,"Scream 3",2000-02-03
4,"Dumb and Dumber To",2014-11-12
4,"The Other Woman",2014-04-16
4,"The Final Destination",2009-08-26
4,"Bridge of Spies",2015-10-15
4,Unknown,2011-02-16
4,"The Living Daylights",1987-06-29
4,"The Impossible",2012-09-09
4,Precious,2009-11-06
4,Creed,2015-11-25
4,"The Town",2010-09-15
4,"Burn After Reading",2008-09-05
4,"Never Say Never Again",1983-10-07
4,"Ip Man 3",2015-12-19
4,"Spy Kids",2001-03-18
4,"Identity Thief",2013-02-07
4,Trainwreck,2015-07-17
4,"Friends with Benefits",2011-07-21
4,"In Time",2011-10-27
4,Closer,2004-12-01
4,Ponyo,2008-07-19
4,"Step Up Revolution",2012-07-26
4,Phenomenon,1996-07-05
4,"Source Code",2011-03-30
4,"Out of Africa",1985-12-20
4,"Remember the Titans",2000-09-29
4,"The Butler",2013-08-16
4,"The Princess Diaries",2001-08-03
4,"The First Wives Club",1996-09-20
4,"The SpongeBob SquarePants Movie",2004-11-14
4,"Hannah Montana: The Movie",2009-04-10
4,Atonement,2007-08-29
4,"The Big Short",2015-12-11
4,"Last Vegas",2013-10-31
4,"Pride & Prejudice",2005-09-16
4,"The Blues Brothers",1980-06-17
4,"About a Boy",2002-04-26
4,"Freaky Friday",2003-08-03
4,"The 40 Year Old Virgin",2005-08-11
4,"The Help",2011-08-09
4,"Parental Guidance",2012-12-25
4,"Final Destination 3",2006-02-10
4,"Finding Neverland",2004-10-17
4,"Hide and Seek",2005-01-27
4,"Nanny McPhee",2005-10-21
4,"Spice World",1997-12-19
4,"Dear John",2010-02-04
4,Zombieland,2009-10-07
4,"The Hundred-Foot Journey",2014-08-06
4,"I Am Sam",2001-12-28
4,Underworld,2003-09-19
4,"To Rome with Love",2012-04-20
4,Premonition,2007-02-08
4,"Epic Movie",2007-01-25
4,Spotlight,2015-11-06
4,"Vampires Suck",2010-08-18
4,Nerve,2016-07-27
4,"Star Trek III: The Search for Spock",1984-05-31
4,"Austin Powers: International Man of Mystery",1997-05-02
4,"My Big Fat Greek Wedding 2",2016-03-23
4,"Gosford Park",2001-11-07
4,Hitman,2007-11-21
4,"My Fair Lady",1964-10-21
4,"The Best Man Holiday",2013-11-15
4,"The Hills Have Eyes",2006-03-10
4,"The Unborn",2009-01-09
4,"Moonrise Kingdom",2012-05-16
4,"Pan's Labyrinth",2006-05-27
4,"Welcome to the Sticks",2008-01-09
4,"Coal Miner's Daughter",1980-03-07
4,"National Lampoon's Vacation",1983-07-28
4,Beetlejuice,1988-02-29
4,"When a Stranger Calls",2006-02-03
4,"Wag the Dog",1997-12-25
4,Krampus,2015-11-26
4,"Not Another Teen Movie",2001-12-07
4,"Lawrence of Arabia",1962-12-10
4,"28 Weeks Later",2007-04-26
4,"Groundhog Day",1993-02-11
4,"Miracles from Heaven",2016-03-17
4,"St. Vincent",2014-10-09
4,"No Good Deed",2014-09-10
4,"Quest for Fire",1981-12-15
4,"One Hour Photo",2002-08-21
4,"The Eye",2008-02-01
4,Frida,2002-08-29
4,Prophecy,1979-01-01
4,"Pet Sematary",1989-04-21
4,"Major League",1989-02-16
4,"Bill & Ted's Excellent Adventure",1989-02-17
4,"Recess: School's Out",2001-01-27
4,Swimfan,2002-09-06
4,"The Fourth Kind",2009-11-06
4,Tremors,1990-01-19
4,"The Forest",2016-01-07
4,"Set It Off",1996-11-06
4,"Child's Play",1988-11-08
4,Nightcrawler,2014-10-23
4,50/50,2011-09-30
4,"American Psycho",2000-04-13
4,"Rumble in the Bronx",1995-01-30
4,"A Serious Man",2009-10-02
4,Veer-Zaara,2004-11-12
4,"Dressed to Kill",1980-06-25
4,Go,1999-04-09
4,"The Wood",1999-07-16
4,"The Protector",2005-08-11
4,Memento,2000-10-11
4,Race,2016-02-19
4,"Four Lions",2010-05-07
4,"Creepshow 2",1987-05-01
4,"The Hunt",2012-08-28
4,Trainspotting,1996-02-23
4,"Pokémon: Spell of the Unknown",2000-07-08
4,"Torn Curtain",1966-07-13
4,Oldboy,2003-01-01
4,Ida,2013-10-25
4,"Escape from the Planet of the Apes",1971-05-20
4,Hud,1963-05-29
4,"Show Boat",1951-07-13
4,"The Valley of Decision",1945-06-01
4,"Boom Town",1940-08-30
4,"A Streetcar Named Desire",1951-09-18
4,"Run Lola Run",1998-08-20
4,"The Lunchbox",2013-09-19
4,"You Can't Take It With You",1938-08-23
4,Kids,1995-07-28
4,Spellbound,1945-12-28
4,Rebecca,1940-04-12
4,"How Green Was My Valley",1941-10-28
4,"God's Not Dead 2",2016-04-01
4,"Blue Valentine",2010-12-27
4,"What Happens in Vegas",2008-05-07
4,Tumbleweeds,1999-11-28
3,"Pirates of the Caribbean: At World's End",2007-05-19
3,Spectre,2015-10-26
3,"Spider-Man 3",2007-05-01
3,"Harry Potter and the Half-Blood Prince",2009-07-07
3,"Batman v Superman: Dawn of Justice",2016-03-23
3,"The Hobbit: The Battle of the Five Armies",2014-12-10
3,"The Amazing Spider-Man",2012-06-27
3,"The Hobbit: The Desolation of Smaug",2013-12-11
3,"Spider-Man 2",2004-06-25
3,"Monsters University",2013-06-20
3,"The Amazing Spider-Man 2",2014-04-16
3,"The Great Gatsby",2013-05-10
3,2012,2009-10-10
3,"X-Men: Apocalypse",2016-05-18
3,"Iron Man 2",2010-04-28
3,"Big Hero 6",2014-10-24
3,"Pearl Harbor",2001-05-21
3,"I Am Legend",2007-12-14
3,"Charlie and the Chocolate Factory",2005-07-13
3,"Thor: The Dark World",2013-10-29
3,"Die Another Day",2002-11-17
3,Armageddon,1998-07-01
3,"Men in Black II",2002-07-03
3,"Kung Fu Panda 3",2016-01-23
3,"The Last Samurai",2003-12-05
3,"The Revenant",2015-12-25
3,Ant-Man,2015-07-14
3,X2,2003-04-24
3,"Jason Bourne",2016-07-27
3,Prometheus,2012-05-30
3,"The Wolverine",2013-07-23
3,"Teenage Mutant Ninja Turtles",2014-08-07
3,"Tomorrow Never Dies",1997-12-11
3,"Ocean's Twelve",2004-12-09
3,"300: Rise of an Empire",2014-03-05
3,"The Smurfs 2",2013-07-30
3,"Live Free or Die Hard",2007-06-20
3,"Minority Report",2002-06-20
3,"Casino Royale",2006-11-14
3,"Planet of the Apes",2001-07-25
3,"True Lies",1994-07-14
3,"Little Fockers",2010-12-21
3,"The Expendables 2",2012-08-08
3,"National Treasure",2004-11-19
3,"The Wolf of Wall Street",2013-12-25
3,"Batman Forever",1995-05-31
3,"Jurassic Park III",2001-07-18
3,"A Good Day to Die Hard",2013-02-06
3,"Rush Hour 2",2001-08-03
3,"The Departed",2006-10-05
3,Mulan,1998-06-18
3,"Now You See Me 2",2016-06-02
3,"Conan the Barbarian",1982-04-02
3,"Happy Feet",2006-11-16
3,"The Bourne Supremacy",2004-07-23
3,"Air Force One",1997-07-25
3,"Ocean's Thirteen",2007-06-07
3,Divergent,2014-03-14
3,Scooby-Doo,2002-06-14
3,"The Expendables",2010-08-03
3,"The Hangover Part II",2011-05-25
3,"Batman Returns",1992-06-19
3,"Grown Ups 2",2013-07-11
3,"Something's Gotta Give",2003-12-12
3,"Shutter Island",2010-02-18
3,Robots,2005-03-10
3,Face/Off,1997-06-27
3,"Space Jam",1996-11-15
3,Fury,2014-10-15
3,"Cloudy with a Chance of Meatballs 2",2013-09-26
3,"2 Fast 2 Furious",2003-06-05
3,"The Lost World: Jurassic Park",1997-05-23
3,X-Men,2000-07-13
3,Wanted,2008-06-19
3,"Grown Ups",2010-06-24
3,"The Terminal",2004-06-17
3,Immortals,2011-11-10
3,Unbreakable,2000-11-13
3,Cars,2006-06-08
3,xXx,2002-08-09
3,Ransom,1996-11-08
3,"Die Hard 2",1990-07-02
3,"Dracula Untold",2014-10-01
3,"Ted 2",2015-06-25
3,Entrapment,1999-04-29
3,"Need for Speed",2014-03-13
3,"You've Got Mail",1998-12-17
3,"Due Date",2010-11-04
3,Cliffhanger,1993-05-28
3,"Broken Arrow",1996-02-09
3,Focus,2015-02-25
3,"Resident Evil: Retribution",2012-09-12
3,Everest,2015-09-10
3,"Clear and Present Danger",1994-08-03
3,"The Hateful Eight",2015-12-25
3,"The Bourne Identity",2002-06-14
3,"The Prince of Egypt",1998-12-15
3,"Eat Pray Love",2010-08-12
3,"The Horse Whisperer",1998-05-14
3,Collateral,2004-08-04
3,"Jack Reacher",2012-12-20
3,"London Has Fallen",2016-03-02
3,"Rambo III",1988-05-24
3,"The Equalizer",2014-09-24
3,Disclosure,1994-12-09
3,"City of Angels",1998-04-10
3,"Mr. Popper's Penguins",2011-06-17
3,"Alien³",1992-05-22
3,"Seven Pounds",2008-12-18
3,"Superman II",1980-12-04
3,"Moulin Rouge!",2001-03-09
3,"Zero Dark Thirty",2012-12-19
3,"The Break-Up",2006-06-01
3,"Anchorman 2: The Legend Continues",2013-12-18
3,"Mr. Deeds",2002-06-28
3,"How to Lose a Guy in 10 Days",2003-02-07
3,"22 Jump Street",2014-06-05
3,"Interview with the Vampire",1994-11-11
3,"Yes Man",2008-12-09
3,Congo,1995-06-09
3,Knowing,2009-03-19
3,"The Ring Two",2005-03-17
3,Outbreak,1995-03-10
3,"Into the Storm",2014-08-06
3,"The Beach",2000-02-11
3,"Star Trek: First Contact",1996-11-21
3,"The Bucket List",2007-12-25
3,"Patriot Games",1992-06-04
3,Monster-in-Law,2005-05-13
3,"Scary Movie 2",2001-07-04
3,"The Muppets",2011-11-22
3,Anaconda,1997-04-11
3,"A Bug's Life",1998-11-25
3,"The Specialist",1994-10-07
3,"Resident Evil: Extinction",2007-09-20
3,Blended,2014-05-21
3,"Johnny English Reborn",2011-09-15
3,"The Bounty Hunter",2010-03-16
3,Sleepers,1996-10-18
3,"The Heat",2013-06-27
3,Lucy,2014-07-14
3,"A Time to Kill",1996-07-24
3,"Lone Survivor",2013-12-24
3,"Scary Movie 4",2006-04-13
3,"Julie & Julia",2009-08-06
3,"The Talented Mr. Ripley",1999-12-25
3,"Eight Below",2006-02-17
3,"Ride Along 2",2016-01-14
3,Ray,2004-10-29
3,"Sin City",2005-04-01
3,"Vantage Point",2008-02-01
3,"Shallow Hal",2001-11-01
3,"Big Momma's House 2",2006-01-26
3,"Shall We Dance?",2004-10-15
3,Apocalypto,2006-12-07
3,Predators,2010-07-03
3,Gothika,2003-11-21
3,"Music and Lyrics",2007-02-09
3,"Sex Tape",2014-07-17
3,"Final Destination 5",2011-08-12
3,"Spy Kids 2: The Island of Lost Dreams",2002-08-07
3,"Star Trek: Generations",1994-11-17
3,"Water for Elephants",2011-03-15
3,"Horrible Bosses",2011-07-08
3,"Star Trek: The Motion Picture",1979-12-06
3,"L.A. Confidential",1997-09-19
3,Species,1995-07-07
3,"The Cell",2000-08-17
3,"Neighbors 2: Sorority Rising",2016-05-04
3,"Saving Mr. Banks",2013-11-16
3,"Resident Evil",2002-03-15
3,"The Pianist",2002-09-24
3,"The Reader",2008-12-10
3,"This Is the End",2013-06-12
3,Vacation,2015-07-28
3,"Get Shorty",1995-10-20
3,"The Notebook",2004-06-25
3,"About Schmidt",2002-12-13
3,"Warm Bodies",2013-01-31
3,"Hope Springs",2012-08-07
3,"Forgetting Sarah Marshall",2008-04-17
3,"Bride Wars",2009-01-09
3,"Without a Paddle",2004-08-20
3,"Racing Stripes",2005-01-06
3,Southpaw,2015-06-15
3,"Drag Me to Hell",2009-03-15
3,Sanctum,2011-02-03
3,"Love & Other Drugs",2010-11-22
3,"The Rugrats Movie",1998-11-20
3,"Once Upon a Time in Mexico",2003-09-11
3,"Role Models",2008-02-03
3,"Dawn of the Dead",2004-03-19
3,"The Royal Tenenbaums",2001-10-05
3,Identity,2003-04-25
3,Timecop,1994-09-15
3,"Safe Haven",2013-02-07
3,"No Reservations",2007-07-25
3,Kick-Ass,2010-03-22
3,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014-10-08
3,"My Sister's Keeper",2009-06-26
3,"A Passage to India",1984-12-14
3,"Notes on a Scandal",2006-12-25
3,"Star Trek VI: The Undiscovered Country",1991-12-05
3,"Spy Kids: All the Time in the World",2011-08-18
3,"Money Monster",2016-05-12
3,"Pineapple Express",2008-08-06
3,"Open Range",2003-08-29
3,"Final Destination 2",2003-01-31
3,"Pain & Gain",2013-04-18
3,"The Constant Gardener",2005-08-31
3,"Freddy vs. Jason",2003-08-15
3,"Jimmy Neutron: Boy Genius",2001-12-21
3,"Teenage Mutant Ninja Turtles II: The Secret of the Ooze",1991-03-22
3,"The Untouchables",1987-06-02
3,"Romeo Must Die",2000-03-20
3,"The Lucky One",2012-04-19
3,"The Grey",2012-01-26
3,"Anchorman: The Legend of Ron Burgundy",2004-07-09
3,"There Will Be Blood",2007-12-28
3,"Jeepers Creepers 2",2003-08-08
3,"Anacondas: The Hunt for the Blood Orchid",2004-08-26
3,"Old School",2003-02-21
3,"Piranha 3D",2010-08-20
3,"The Naked Gun 2½: The Smell of Fear",1991-06-28
3,1408,2007-07-12
3,"The Rookie",2002-03-25
3,"The Animal",2001-06-01
3,Gandhi,1982-11-30
3,"Son of God",2014-02-28
3,"Diary of a Wimpy Kid: Dog Days",2012-08-02
3,"Michael Clayton",2007-09-28
3,Firefox,1982-06-13
3,"Are We There Yet?",2005-01-20
3,"School of Rock",2003-10-03
3,"White Chicks",2004-06-23
3,"Why Did I Get Married Too?",2010-04-02
3,Selma,2014-12-25
3,Boogeyman,2005-02-04
3,"The American",2010-08-31
3,Selena,1997-03-21
3,"Scary Movie 5",2013-04-11
3,"Wild Things",1998-03-20
3,"The Bank Job",2008-02-28
3,"Eternal Sunshine of the Spotless Mind",2004-03-19
3,"Street Kings",2008-04-10
3,"Stay Alive",2006-03-24
3,"Into the Wild",2007-09-11
3,"The Kite Runner",2007-10-14
3,"21 Grams",2003-09-06
3,"A Cinderella Story",2004-07-10
3,"Land of the Dead",2005-06-24
3,"Deuce Bigalow: Male Gigolo",1999-12-10
3,"Barbershop 2:  Back in Business",2004-01-20
3,"Bad Santa",2003-11-26
3,"Diary of a Wimpy Kid: Rodrick Rules",2011-03-25
3,Honey,2003-11-24
3,Hoodwinked!,2005-12-16
3,"Smokin' Aces",2006-12-09
3,"The Verdict",1982-12-08
3,"The Women",2008-09-12
3,"Why Did I Get Married?",2007-10-12
3,"Big Fat Liar",2002-02-08
3,"The Deer Hunter",1978-12-08
3,"The Lizzie McGuire Movie",2003-04-25
3,Wild,2014-12-05
3,"The Wedding Date",2005-02-04
3,"The Object of My Affection",1998-04-17
3,"One Day",2011-03-02
3,"The Big Lebowski",1998-03-06
3,"The Sea Inside",2004-09-03
3,"The Godfather: Part II",1974-12-20
3,"Young Guns",1988-08-12
3,"About Last Night",2014-02-14
3,"10 Things I Hate About You",1999-03-30
3,"Baby Geniuses",1999-03-12
3,"The Mist",2007-11-21
3,"Earth to Echo",2014-06-14
3,"Letters from Iwo Jima",2006-12-19
3,"21 & Over",2013-03-01
3,"Dancer in the Dark",2000-05-17
3,"The Golden Child",1986-12-12
3,"Jackie Brown",1997-12-24
3,"Harold & Kumar Escape from Guantanamo Bay",2008-04-25
3,Quarantine,2008-10-10
3,Crank,2006-08-31
3,"The Fighter",2010-12-17
3,"A Walk to Remember",2002-01-25
3,"Dead Man Walking",1995-12-29
3,"The Secret Life of Bees",2008-09-17
3,"Raising Cain",1992-08-07
3,"Bring It On",2000-08-25
3,"The Color of Money",1986-10-07
3,"Happy Gilmore",1996-02-16
3,Oliver!,1968-09-26
3,Devil,2010-01-13
3,"The Lawnmower Man",1992-03-05
3,"Nick and Norah's Infinite Playlist",2008-10-03
3,Dogma,1999-11-12
3,"Employee of the Month",2006-10-06
3,"The Outsiders",1983-03-25
3,"Run, Fatboy, Run",2007-09-06
3,"The Best Man",1999-10-22
3,"The Lost Boys",1987-07-31
3,"The Rose",1979-11-07
3,"My Name Is Khan",2010-02-12
3,"The Wind That Shakes the Barley",2006-05-18
3,"Quo Vadis",1951-11-08
3,"Brown Sugar",2002-10-05
3,"That Awkward Moment",2014-01-29
3,"New in Town",2009-01-30
3,"Thank You for Smoking",2005-09-05
3,"Hostel: Part II",2007-06-08
3,"An Education",2009-10-29
3,Desperado,1995-08-25
3,"The Return of the Living Dead",1985-05-15
3,"The Usual Suspects",1995-07-19
3,"Duel in the Sun",1946-12-31
3,"Daddy Day Camp",2007-08-08
3,"A Mighty Wind",2003-04-16
3,"The Guard",2011-07-07
3,"[REC]²",2009-09-15
3,"Freddy's Dead: The Final Nightmare",1991-09-05
3,"The Egyptian",1954-08-25
3,Nighthawks,1981-03-17
3,"Halloween: The Curse of Michael Myers",1995-09-29
3,"Halloween 4: The Return of Michael Myers",1988-10-21
3,"Sunshine Cleaning",2008-01-18
3,"Soul Kitchen",2009-09-09
3,Trapeze,1956-05-30
3,"They Live",1988-11-23
3,"The Last Exorcism Part II",2013-02-28
3,"The History Boys",2006-10-02
3,"In Cold Blood",1967-12-14
3,"The Nun's Story",1959-06-18
3,Harper,1966-02-23
3,Frenzy,1972-05-25
3,Whiplash,2014-10-10
3,"It's a Wonderful Life",1946-12-20
3,"Family Plot",1976-04-09
3,"Dave Chappelle's Block Party",2005-09-12
3,"Elmer Gantry",1960-06-19
3,"Judgment at Nuremberg",1961-12-01
3,"Red River",1948-08-26
3,"Before Midnight",2013-04-05
3,Tsotsi,2005-08-18
3,Bachelorette,2012-08-06
3,"This Is England",2006-09-12
3,"The Hustler",1961-09-25
3,"Gentleman's Agreement",1947-11-11
3,"Inside Job",2010-10-08
3,"Hang 'em High",1968-07-31
3,"She Wore a Yellow Ribbon",1949-10-22
3,"The Raid",2011-09-08
3,"Raising Victor Vargas",2002-05-16
2,Tangled,2010-11-24
2,"Quantum of Solace",2008-10-30
2,"Man of Steel",2013-06-12
2,"Pirates of the Caribbean: On Stranger Tides",2011-05-14
2,"Men in Black 3",2012-05-23
2,"The Golden Compass",2007-12-04
2,"King Kong",2005-12-14
2,"X-Men: The Last Stand",2006-05-24
2,"Oz: The Great and Powerful",2013-03-07
2,"TRON: Legacy",2010-12-10
2,"Cars 2",2011-06-11
2,"World War Z",2013-06-20
2,"X-Men: Days of Future Past",2014-05-15
2,"Star Trek Into Darkness",2013-05-05
2,"Prince of Persia: The Sands of Time",2010-05-19
2,"Pacific Rim",2013-07-11
2,Brave,2012-06-21
2,"WALL·E",2008-06-22
2,"Monsters vs Aliens",2009-03-19
2,"The Mummy: Tomb of the Dragon Emperor",2008-07-01
2,"Edge of Tomorrow",2014-05-27
2,"Snow White and the Huntsman",2012-05-30
2,"Wreck-It Ralph",2012-11-01
2,"Independence Day: Resurgence",2016-06-22
2,"How to Train Your Dragon",2010-03-05
2,"Terminator 3: Rise of the Machines",2003-07-02
2,"The Curious Case of Benjamin Button",2008-11-24
2,"X-Men: First Class",2011-05-24
2,Warcraft,2016-05-25
2,"Terminator Genisys",2015-06-23
2,"The Chronicles of Narnia: The Voyage of the Dawn Treader",2010-08-13
2,"Batman Begins",2005-06-10
2,"Night at the Museum: Battle of the Smithsonian",2009-05-20
2,"X-Men Origins: Wolverine",2009-04-28
2,"The Matrix Revolutions",2003-11-05
2,"Mad Max: Fury Road",2015-05-13
2,"Angels & Demons",2009-05-13
2,Thor,2011-04-21
2,Bolt,2008-11-21
2,"Wrath of the Titans",2012-03-27
2,"The Last Airbender",2010-06-30
2,"Mission: Impossible III",2006-05-03
2,Troy,2004-05-13
2,Beowulf,2007-11-05
2,"Rise of the Guardians",2012-11-21
2,"Fun with Dick and Jane",2005-12-21
2,"Star Trek",2009-05-06
2,"Lethal Weapon 4",1998-07-10
2,"G.I. Joe: Retaliation",2013-03-26
2,"Captain America: The First Avenger",2011-07-22
2,"The World Is Not Enough",1999-11-08
2,Turbo,2013-07-11
2,"Penguins of Madagascar",2014-11-22
2,Home,2015-03-18
2,"Bad Boys II",2003-07-18
2,Salt,2010-07-21
2,Noah,2014-03-20
2,"The Adventures of Tintin",2011-10-25
2,Dinosaur,2000-05-19
2,"Night at the Museum: Secret of the Tomb",2014-12-17
2,Megamind,2010-10-28
2,"Sherlock Holmes: A Game of Shadows",2011-11-22
2,"The Bourne Legacy",2012-08-08
2,"How the Grinch Stole Christmas",2000-11-17
2,"The Perfect Storm",2000-03-15
2,"Fantastic 4: Rise of the Silver Surfer",2007-06-13
2,"Ghost Rider",2007-02-16
2,"Charlie's Angels: Full Throttle",2003-06-27
2,Elysium,2013-08-07
2,RoboCop,2014-01-30
2,"Knight and Day",2010-06-15
2,Oblivion,2013-04-10
2,Insurgent,2015-03-18
2,"Gulliver's Travels",2010-12-25
2,"Real Steel",2011-09-28
2,"I, Robot",2004-07-15
2,"Stuart Little",1999-12-17
2,"The Princess and the Frog",2009-12-08
2,"Gone in Sixty Seconds",2000-06-09
2,"Public Enemies",2009-07-01
2,"American Gangster",2007-11-02
2,Eraser,1996-06-21
2,Eragon,2006-12-14
2,Epic,2013-05-15
2,"The Tourist",2010-12-08
2,"End of Days",1999-11-24
2,Hercules,2014-07-23
2,"The Expendables 3",2014-08-04
2,"The Peanuts Movie",2015-11-05
2,"The Fifth Element",1997-05-07
2,"Sex and the City 2",2010-05-26
2,"Lara Croft: Tomb Raider",2001-06-11
2,"Percy Jackson & the Olympians: The Lightning Thief",2010-02-01
2,"Cloudy with a Chance of Meatballs",2009-09-17
2,"The Secret Life of Walter Mitty",2013-12-18
2,"Charlie's Angels",2000-11-02
2,"Tropic Thunder",2008-08-09
2,"The Girl with the Dragon Tattoo",2011-12-14
2,Valkyrie,2008-12-25
2,"You Don't Mess with the Zohan",2008-06-05
2,Pixels,2015-07-16
2,"A.I. Artificial Intelligence",2001-06-29
2,"The Haunted Mansion",2003-11-25
2,"Hollow Man",2000-08-04
2,"The Interpreter",2005-04-08
2,"Safe House",2012-02-09
2,"102 Dalmatians",2000-10-07
2,"Tower Heist",2011-11-02
2,"The Holiday",2006-12-08
2,"Enemy of the State",1998-11-20
2,"It's Complicated",2009-12-23
2,"Open Season",2006-09-29
2,"Mirror Mirror",2012-03-15
2,Click,2006-06-22
2,Creepshow,1982-11-12
2,Jumper,2008-02-10
2,"The Longest Yard",2005-05-19
2,"Get Smart",2008-06-19
2,"Four Christmases",2008-11-26
2,"Bedtime Stories",2008-12-24
2,"Road to Perdition",2002-07-12
2,"Just Go with It",2011-02-10
2,"Con Air",1997-06-01
2,"Eagle Eye",2008-09-25
2,"Cold Mountain",2003-12-24
2,Flubber,1997-11-26
2,"The Day the Earth Stood Still",2008-12-10
2,"Six Days Seven Nights",1998-06-12
2,"Yogi Bear",2010-12-11
2,Zookeeper,2011-07-06
2,"Red Dragon",2002-09-29
2,"The League of Extraordinary Gentlemen",2003-07-11
2,"50 First Dates",2004-02-13
2,"Hotel for Dogs",2009-01-16
2,"Vertical Limit",2000-12-08
2,Dreamgirls,2006-12-25
2,"First Knight",1995-07-07
2,"Talladega Nights: The Ballad of Ricky Bobby",2006-08-04
2,"Dr. Dolittle 2",2001-06-22
2,Braveheart,1995-05-24
2,"Vanilla Sky",2001-12-10
2,"AVP: Alien vs. Predator",2004-08-12
2,"Olympus Has Fallen",2013-03-20
2,"Battle: Los Angeles",2011-03-08
2,"War Horse",2011-12-25
2,"The Monuments Men",2014-01-24
2,"Underworld: Awakening",2012-01-19
2,"Escape Plan",2013-10-09
2,"The Sum of All Fears",2002-05-31
2,"Hall Pass",2011-02-25
2,"The X Files",1998-06-19
2,"The Santa Clause 2",2002-10-31
2,"The Mask of Zorro",1998-07-16
2,Unbroken,2014-12-25
2,"World Trade Center",2006-08-09
2,"The Dictator",2012-05-15
2,"Eyes Wide Shut",1999-07-14
2,Annie,2014-12-19
2,"This Means War",2012-02-14
2,"Perfume: The Story of a Murderer",2006-09-13
2,U-571,2000-04-20
2,Hop,2011-03-30
2,"Chicken Little",2005-11-04
2,"The General's Daughter",1999-06-18
2,"Daddy Day Care",2003-05-03
2,"2 Guns",2013-08-02
2,"The Italian Job",2003-05-30
2,Antz,1998-10-02
2,"Couples Retreat",2009-09-19
2,"Days of Thunder",1990-06-27
2,"Cheaper by the Dozen 2",2005-12-21
2,"The Scorpion King",2002-04-16
2,Contagion,2011-09-08
2,Coraline,2009-02-05
2,"The Happening",2008-06-11
2,"Starsky & Hutch",2004-03-05
2,"Jingle All the Way",1996-11-15
2,"The Jackal",1997-11-14
2,"Alien: Resurrection",1997-11-12
2,Invictus,2009-12-10
2,"The Monkey King 2",2016-01-22
2,Goosebumps,2015-08-05
2,"The Devil's Advocate",1997-10-17
2,DragonHeart,1996-05-31
2,"Ghost Rider: Spirit of Vengeance",2011-12-10
2,"The Pacifier",2005-03-04
2,"The Nutty Professor",1996-06-26
2,"Date Night",2010-04-08
2,"Maid in Manhattan",2002-12-13
2,"Crimson Tide",1995-05-12
2,"Death Becomes Her",1992-07-30
2,"Executive Decision",1996-03-15
2,"The Forbidden Kingdom",2008-04-18
2,"Free Birds",2013-10-30
2,Evita,1996-12-14
2,Changeling,2008-01-30
2,"The Phantom of the Opera",2004-12-08
2,"Blade II",2002-03-22
2,"The Godfather: Part III",1990-12-24
2,"You, Me and Dupree",2006-07-14
2,Shaft,2000-06-15
2,Anastasia,1997-11-20
2,"Law Abiding Citizen",2009-10-15
2,"The Dukes of Hazzard",2005-08-05
2,Casino,1995-11-22
2,"Me, Myself & Irene",2000-06-22
2,"The Adjustment Bureau",2011-03-03
2,"We Bought a Zoo",2011-12-22
2,"Crazy, Stupid, Love.",2011-07-29
2,Moneyball,2011-09-22
2,"Race to Witch Mountain",2009-03-12
2,"V for Vendetta",2006-03-15
2,"Don't Say a Word",2001-09-28
2,Unfaithful,2002-05-10
2,"I Am Number Four",2011-02-18
2,"The Game",1997-09-12
2,"Beverly Hills Cop III",1994-05-24
2,"Resident Evil: Apocalypse",2004-09-10
2,Striptease,1996-06-28
2,Hereafter,2010-10-15
2,Chappie,2015-03-04
2,"The Bone Collector",1999-11-04
2,"The Cable Guy",1996-06-10
2,"Dick Tracy",1990-06-15
2,"The Thomas Crown Affair",1999-08-06
2,Insomnia,2002-05-24
2,"Courage Under Fire",1996-07-04
2,"Journey to the Center of the Earth",2008-07-10
2,"The Princess Diaries 2: Royal Engagement",2004-08-06
2,"The Client",1994-07-20
2,Prisoners,2013-09-18
2,"Training Day",2001-10-05
2,"Galaxy Quest",1999-12-23
2,Blade,1998-08-21
2,"Coach Carter",2005-01-14
2,"Changing Lanes",2002-04-07
2,"Coyote Ugly",2000-07-30
2,"From Hell",2001-10-19
2,"The Hitchhiker's Guide to the Galaxy",2005-01-15
2,Cellular,2004-09-06
2,"Revolutionary Road",2008-12-19
2,"Underworld: Evolution",2006-01-12
2,Cleopatra,1963-06-12
2,"Red Riding Hood",2011-03-11
2,"Double Jeopardy",1999-09-24
2,"A League of Their Own",1992-07-01
2,"Get Hard",2015-03-26
2,42,2013-04-12
2,"I Love You, Man",2009-03-20
2,"The Mexican",2001-03-01
2,"Behind Enemy Lines",2001-11-17
2,"Get Him to the Greek",2010-06-04
2,Spawn,1997-07-31
